fk_country,fk_year,gdp,pop
59,21,4279637933.85136,749078.0
60,21,564947710899.373,56326328.0
61,21,4445228215.76763,11865246.0
62,21,241080708.89018,718586.0
63,21,110653830.722704,831462.0
64,21,50642880.7737503,282509.0
65,21,56829664268.5851,9307148.0
66,21,110900457.037037,94838.0
67,21,476055288.418886,50106.0
68,21,7878700000.0,6987767.0
69,21,603200000.0,778176.0
70,21,8931000796741.4,53461077539109.3
71,21,28861759209.0191,4978544.0
72,21,3968160045.98684,3777990.0
73,21,109154431862.074,797697289590.406
74,21,1383800000.0,5646676.0
75,21,2303527079233.39,29900583521576.8
76,21,2576181066097.83,32139314724146.1
77,21,271059625801.27,2239424393002.2
78,21,126263052760.813,961669400838.282
79,21,72482337370.3464,148177096.0
80,21,145286155307.161,1278442378837.88
81,21,186325345089.754,696828385.0
82,21,21747855640.0712,3391387.0
83,21,94362275580.0229,38520664.0
84,21,52569000000.0,13653369.0
85,21,3381419042.85476,228263.0
86,21,477256775943.929,56329482.0
87,21,2679409453.23903,2135546.0
88,21,3910036925.14267,2216903.0
89,21,1105385973763.87,117624196.0
90,21,7265315331.62273,16187124.0
91,21,1202744008.9587865,6198959.0
92,21,38715554.5433842,60813.0
93,21,68459259.2592593,43097.0
94,21,65398646757.6511,38170501.0
95,21,28638550499.4451,1493870.0
96,21,657711438273.7,4035270946811.09
97,21,170370370.37037,121633.0
98,21,782809198814.434,4725519821856.69
99,21,534701915.617354,25003.0
100,21,4024621899.57653,14943645.0
101,21,700257875562.012,7384772400818.06
102,21,2432038062353.2,30993151083682.1
103,21,431561376.476631,1407672.0
104,21,1298658013887.08,22433389417760.0
105,21,6019805490.41247,363741.0
106,21,6019805490.41247,245332.0
107,21,21728770055.3777,19678444.0
108,21,1378130995.60185,27076.0
109,21,5201818349.00282,8948162.0
110,21,42463576.1589404,164887.0
111,21,205139086956.522,67705186.0
112,21,205139086956.522,31988.0
113,21,2355889463388.47,30535343464998.6
114,21,1759687480.12117,7372581.0
115,21,1250242107.87969,333587.0
116,21,1010596805.46697,33465781.0
117,21,273628597468.491,1195745981528.4
118,21,273628597468.491,1697780.0
119,21,1047924649.11779,1506694.0
120,21,1131788191.50736,954865.0
121,21,1237655461.1501,6267369.0
122,21,24488033442.0506,13215707.0
123,21,3131774126516.07,22605296107568.4
124,21,2422096074.58458,975994.0
125,21,1182463958.6966,148599.0
126,21,2508524186.43352,6173177.0
127,21,64201788122.6054,72951439.0
128,21,2189347367.52632,3303309.0
129,21,195152092662.381,14130387.0
130,21,64439382896.0156,4085776.0
131,21,1945916583.33333,15600442.0
132,21,23244547384.6748,3147168.0
133,21,8841766912790.82,52392675685741.2
134,21,5981760277.93862,1017462.0
135,21,23654444444.4444,80624057.0
136,21,4614086400.0,1956987.0
137,21,18134029179.6393,17492406.0
138,21,36848242783.8987,48419546.0
139,21,2545983007.89984,3104788.0
140,21,220909690971.545,1293147607836.51
141,21,14436100000.0,3214568.0
142,21,32896519823.7885,9785252.0
143,21,4448087301.5873,3078912.0
144,21,8529728496186.59,49594473170967.9
145,21,7829094613.07082,277450.0
146,21,1254765349.93185,5247532.0
147,21,236032168287.023,3386420411905.1
148,21,164541658298.596,10171710.0
149,21,7459833333.33333,16673586.0
150,21,4510107330.12074,5703869.0
151,21,11896256782.8566,2400729.0
152,21,183170656.739582,233668.0
153,21,1100685844.92284,3367477.0
154,21,3573959900.0,4508992.0
155,21,603592656.822209,5892224.0
156,21,266644983452.811,1704320048486.98
157,21,266790137245.779,1705379934850.61
158,21,795000000.0,375112.0
159,21,142092068280.689,8311763.0
160,21,542000513.610683,598564.0
161,21,147357222.779802,65290.0
162,21,13062420382.1656,8898954.0
163,21,1033002401.82546,4408230.0
164,21,377558527916.627,17426659793626.2
165,21,1136408814.19692,2838110.0
166,21,32353440726.8856,45737753.0
167,21,742550513647.284,4478206456171.96
168,21,271186214027.669,1180179221398.0
169,21,53260077.4311091,96708.0
170,21,236032168287.024,3386420411905.1
171,21,266790137245.779,1705379934850.61
172,21,6235833333.33333,1127852.0
173,21,8744134354.16152,6578156.0
174,21,68789289565.7434,44089069.0
175,21,1244610000.0,13284026.0
176,21,1662233216555.57,23150665555175.7
177,21,10163020115.7344,2953750.0
178,21,2857307000000.0,223140018.0
179,21,82340339.6296296,107480.0
180,21,59116511627.907,15210443.0
181,21,121185497.569261,118156.0
182,21,11301342788676.5,84746979120044.5
183,21,11301342788676.5,164905.0
184,21,82980483387.953,29463549.0
185,21,3829500000.0,5720438.0
186,21,6678868200.0,7049926.0
1,31,212336051488.558,920792331527.746
2,31,3725812905.05901,10694796.0
3,31,121802185300.139,784587603322.866
4,31,1029048481.88051,53569.0
5,31,50701443748.2975,1900151.0
6,31,141352368714.691,32637657.0
7,31,459470370.37037,63328.0
8,31,311326664101.578,17048003.0
9,31,166463386179.354,7678729.0
10,31,1132101252.51817,5483793.0
11,31,205331747947.851,9959560.0
12,31,1959965243.76269,5133419.0
13,31,3101300641.87512,9131361.0
14,31,31598341233.559,107147651.0
15,31,20632090909.0909,8767778.0
16,31,4229787234.04255,517418.0
17,31,3166000000.0,270679.0
18,31,412086445.492176,182589.0
19,31,1592400000.0,57470.0
20,31,4867582620.20708,7096194.0
21,31,390725626002.866,150706446.0
22,31,2012131457.26644,258868.0
23,31,3520551724.13793,261928.0
24,31,287658184.003989,558442.0
25,31,3790567051.86778,1341474.0
26,31,1440711395.67069,2809221.0
27,31,593929550908.468,27657204.0
28,31,265987061618.198,6711693.0
29,31,33113887817.9731,13342868.0
30,31,360857912565.966,1153704252.0
31,31,10795850106.9547,11910540.0
32,31,12314482085.0878,11430520.0
33,31,9349764580.36998,35987541.0
34,31,2798746050.58228,2385435.0
35,31,47844090709.9908,32601393.0
36,31,429622147.743446,431119.0
37,31,306891107.262039,364563.0
38,31,5711687786.75989,3158253.0
