Nový Zéland Nový Zéland,14 871,17 885,21 501,25 677,31 214,37 480,45 374,46 990
Nikaragua Nikaragua,1 948,2 150,2 751,3 384,3 960,5 231,5 466,6 195
Niger Niger,732,749,757,882,1 051,1 138,1 281,1 304
Nigérie Nigérie,2 057,2 062,2 293,3 429,4 632,5 342,5 132,5 408
Severní Makedonie Severní Makedonie,5 399,4 948,6 153,7 849,11 361,13 888,17 323,18 340
Norsko Norsko,18 462,24 362,36 942,47 798,57 919,60 369,64 161,80 535
Omán Omán,26 297,32 789,39 581,43 198,53 256,36 449,34 911,37 676
Pákistán Pákistán,2 017,2 475,2 721,3 476,4 041,4 653,5 278,5 748
Palau Palau,-,-,9 632,12 492,13 160,17 881,16 826,15 145
Panama Panama,5 083,6 762,8 438,10 610,15 235,25 392,26 907,31 901
Papua Nová Guinea Papua Nová Guinea,1 717,2 450,2 207,2 335,2 931,3 705,3 947,4 040
Paraguay Paraguay,5 604,6 929,6 905,7 964,10 834,12 436,14 047,15 037
Peru Peru,3 352,4 416,5 001,6 548,9 664,11 481,11 789,13 749
Filipíny Filipíny,2 663,2 980,3 437,4 376,5 587,7 123,8 199,8 893
Polsko Polsko,6 186,7 686,10 674,13 897,20 891,26 823,35 312,38 125
Portugalsko Portugalsko,11 781,14 407,18 879,22 725,27 262,29 661,34 877,36 038
Portoriko Portoriko,13 409,17 722,22 935,29 347,30 929,34 016,34 161,35 850
Katar Katar,-,-,88 707,112 073,143 070,98 787,93 894,102 018
Rumunsko Rumunsko,5 281,5 429,5 849,9 602,17 356,21 625,33 333,36 101
Rusko Rusko,8 028,5 613,6 825,11 822,20 490,24 085,29 937,32 966
Rwanda Rwanda,553,512,617,917,1 314,1 762,2 181,2 460
Samoa Samoa,2 159,2 473,3 023,4 340,5 184,5 646,6 394,6 080
San Marino San Marino,-,-,53 659,64 440,62 016,55 118,59 451,-
Saúdská Arábie Saúdská Arábie,32 511,36 962,38 204,46 060,48 048,47 079,45 241,48 711
Senegal Senegal,1 550,1 697,2 016,2 406,2 684,3 017,3 569,3 840
Srbsko Srbsko,-,4 826,6 020,9 182,12 798,14 928,19 556,21 642
Seychely Seychely,8 956,10 736,14 255,15 432,19 390,24 740,28 352,31 596
Sierra Leone Sierra Leone,775,663,692,903,1 131,1 556,1 673,1 774
Singapur Singapur,23 813,35 087,43 776,58 815,75 390,86 975,99 681,116 486
Slovensko Slovensko,-,8 698,11 378,16 639,25 302,29 965,32 439,33 419
Slovinsko Slovinsko,-,13 629,18 004,23 853,27 826,31 628,40 779,43 805
Šalomounovy ostrovy Šalomounovy ostrovy,1 295,1 867,1 539,1 695,2 152,2 463,2 604,2 649
Somálsko Somálsko,-,-,-,-,-,1 086,1 189,1 249
Jižní Afrika Jižní Afrika,6 520,6 961,8 154,10 540,12 772,13 582,13 518,14 624
Španělsko Španělsko,13 686,16 289,21 587,27 607,31 682,34 903,38 119,40 592
Srí Lanka Srí Lanka,2 385,3 325,4 487,5 873,8 483,12 208,13 813,14 707
Svatý Kryštof a Nevis Svatý Kryštof a Nevis,8 938,11 684,15 183,19 378,23 410,26 571,28 163,29 097
Svatá Lucie Svatá Lucie,6 612,7 854,9 094,10 627,12 644,13 816,12 289,14 332
Svatý Vincenc a Grenadiny Svatý Vincenc a Grenadiny,3 936,5 225,6 487,9 017,10 623,12 425,14 211,15 045
Súdán Súdán,1 520,1 989,2 732,3 558,3 954,4 519,4 087,4 066
Surinam Surinam,6 488,6 920,7 497,10 073,13 129,16 721,16 169,16 223
Švédsko Švédsko,20 426,23 108,29 622,34 244,42 223,49 103,55 564,59 223
Švýcarsko Švýcarsko,28 487,30 870,36 778,41 749,54 858,66 020,71 984,77 121
Tádžikistán Tádžikistán,2 573,1 011,1 038,1 671,2 300,3 125,3 852,4 288
Tanzanie Tanzanie,922,976,1 157,1 587,2 053,2 301,2 691,2 836
Thajsko Thajsko,4 411,6 862,7 281,10 198,12 989,15 467,17 771,18 761
Východní Timor Východní Timor,-,-,1 258,1 404,1 948,2 890,5 122,5 529
Togo Togo,1 090,1 118,1 284,1 331,1 503,1 841,2 180,2 334
Tonga Tonga,2 141,2 976,3 480,4 121,4 465,5 484,6 705,6 749
Trinidad a Tobago Trinidad a Tobago,6 799,9 010,13 821,22 251,28 754,27 661,24 672,25 308
Tunisko Tunisko,3 728,4 619,6 197,8 012,10 429,10 471,10 572,11 282
Turecko Turecko,8 468,10 257,9 499,11 864,17 334,25 392,27 722,30 444
Turkmenistán Turkmenistán,5 378,3 376,4 221,5 676,9 475,13 213,-,-
Tuvalu Tuvalu,1 596,2 005,2 523,2 686,2 976,3 785,5 105,5 410
Uganda Uganda,665,896,1 123,1 497,2 094,2 171,2 363,2 468
Ukrajina Ukrajina,7 614,4 136,4 260,7 214,8 560,10 164,13 087,14 220
Spojené arabské emiráty Spojené arabské emiráty,83 843,88 932,94 016,104 732,65 412,69 706,71 374,76 609
Spojené království Spojené království,17 117,20 630,26 476,32 747,36 576,42 913,46 755,50 810
Spojené státy americké Spojené státy americké,23 889,28 691,36 330,44 123,48 651,56 763,63 028,69 288
Uruguay Uruguay,6 368,8 470,10 329,11 600,16 852,20 272,23 024,25 049
Uzbekistán Uzbekistán,2 659,2 191,2 659,3 644,5 470,6 680,7 746,8 497
Vanuatu Vanuatu,1 638,1 921,2 139,2 215,2 653,2 778,2 992,3 057
Venezuela Venezuela,9 533,11 388,11 623,13 543,16 582,-,-,-
Vietnam Vietnam,1 184,1 799,2 553,3 797,5 391,7 596,11 023,11 676
Svět Svět,5 552,6 580,8 006,10 150,12 875,15 092,17 149,18 605
Jemen Jemen,1 809,2 288,2 763,3 328,3 895,-,-,-
Zambie Zambie,1 541,1 519,1 730,2 242,3 136,3 353,3 358,3 556
Zimbabwe Zimbabwe,1 794,1 978,2 237,1 655,1 804,2 615,2 099,2 324
